spectrum_id,inchikey,declared_name,spectral_source,ionization_mode
MassBank:DF1EFF8A:40,DF1EFF8A3F4283-F03C0681E2-9,Synthanol 17,MassBank,positive
GNPS:DF1EFF8A:381,DF1EFF8A3F4283-F03C0681E2-9,Synthanol 17,GNPS,negative
MassBank:DAE92C19:76,DAE92C19272999-20E430307D-D,Synthanol 38,MassBank,positive
MoNA:DAE92C19:833,DAE92C19272999-20E430307D-D,Synthanol 38,MoNA,positive
GNPS:8955C010:205,8955C01071465D-ABD142FC88-5,Unknown compound 8955C0,GNPS,positive
MoNA:8955C010:773,8955C01071465D-ABD142FC88-5,Synthanol 28,MoNA,positive
MassBank:4C316CF9:353,4C316CF9989A1A-B1E7CBBAD3-B,Synthanol 43,MassBank,positive
GNPS:4C316CF9:536,4C316CF9989A1A-B1E7CBBAD3-B,Synthanol 43,GNPS,positive
GNPS:6A8E1DB4:510,6A8E1DB436BB6A-478CB76751-8,Unknown compound 6A8E1D,GNPS,negative
MoNA:7B3910D9:354,7B3910D9C1BEA5-E15A6D0A3E-3,Synthanol 13,MoNA,positive
MassBank:7B3910D9:6,7B3910D9C1BEA5-E15A6D0A3E-3,Synthanol 13 hydrate,MassBank,negative
MoNA:51B9371D:269,51B9371D59C8F3-393F3AB0A8-1,Unknown compound 51B937,MoNA,negative
GNPS:5E09C673:118,5E09C67367B5B7-EFA83D022F-E,Unknown compound 5E09C6,GNPS,negative
MoNA:BFF2DA69:519,BFF2DA69CDC7B2-A48DB94E5B-B,Synthanol 1,MoNA,positive
MassBank:FDC8241F:228,FDC8241F179015-2894CC6140-4,Synthanol 5,MassBank,positive
GNPS:1E0B8642:973,1E0B8642D2E565-C29319A2FE-A,Synthanol 45,GNPS,negative
MoNA:1E0B8642:668,1E0B8642D2E565-C29319A2FE-A,Unknown compound 1E0B86,MoNA,negative
GNPS:6B8EECA7:723,6B8EECA7F2CBA1-8A988C8F9E-8,Synthanol 14 hydrate,GNPS,negative
GNPS:AFCFA3D8:404,AFCFA3D8D12D61-878F0E33C4-7,Synthanol 29,GNPS,positive
MassBank:964BAE3E:778,964BAE3E630209-30A470CD30-9,Synthanol 55,MassBank,positive
MassBank:C9EB8FCE:923,C9EB8FCEEABEF7-4F58B6A001-0,Synthanol 36,MassBank,negative
MoNA:C9EB8FCE:137,C9EB8FCEEABEF7-4F58B6A001-0,Synthanol 36,MoNA,negative
MoNA:D2DEFF31:968,D2DEFF3125555E-813BC47DB3-8,Synthanol 60,MoNA,negative
MassBank:F9BDE2C3:776,F9BDE2C3275D55-1C4B6ECE50-D,Synthanol 56,MassBank,positive
